MentionSource|tone(all)|count(all)|tone(trump)|count(trump)|tone(trump_pres)|count(trump_pres)|tone(trump_cand)|count(trump_cand)|tone(obama)|count(obama)|tone(clinton)|count(clinton)|tone(charlottesville)|count(charlottesville)|tone(anthem)|count(anthem)|tone(inauguration)|count(inauguration)|tone(mueller)|count(mueller)|tone(tariff)|count(tariff)|prediction
infowars.com|-3.8267897708939183|18483|-3.077585284399252|0.25482876156468104|-2.9939209391966837|0.22712763079586648|-2.7053610384464264|0.00021641508413136395|-2.6453688582863477|0.026402640264026403|-3.1476146259985933|0.02948655521289834|-5.603678584098816|0.0003787263972298869|-2.6606507698694863|0.0006492452523940919|-1.0195841193199158|0.00032462262619704593|-3.730170457118965|0.013471838987177406|-3.1398680113977|0.0033544338040361415|2
rt.com|-4.011624907870639|112107|-2.89414389246231|0.05054992105756108|-3.0826666383982713|0.036973605573246984|-2.3537345663695546|0.0016234490263765866|-2.72995225524895|0.014423720195884289|-2.268548502072249|0.009009250091430509|-6.05690237681071|0.00026760148786427254|-2.465904611807603|0.00011596064474118477|-3.6292761498027377|0.00024084133907784528|-3.2727252890666327|0.000428162380582836|-3.6777362225577237|0.0007136039676380601|2
nypost.com|-3.9521972307621835|155786|-2.4484192739714974|0.11020887627899811|-2.5743479912869054|0.08484074307062252|-2.5242529770096502|0.004275095323071393|-2.5448291586325618|0.020021054523513025|-1.8028852697190207|0.012324599129575186|-7.914297885253649|0.0007638683835517954|-2.332939749583602|0.00020540998549291978|-1.4831965661878828|0.0010142118033712915|-3.506811237317333|0.004281514385118047|-2.7284487931445094|0.0012966505334240561|2
theguardian.com|-2.738632865831656|431991|-2.7620600637768016|0.07581639432302988|-2.9083375290050126|0.054501135440321674|-2.5966844093736285|0.0035417404529261027|-2.147738503842018|0.01205349185515439|-1.8631635453907156|0.011412274792761886|-6.201207006492488|0.0006967737753795797|-1.8152866901622877|0.00016667013896122835|-2.4211207803690207|0.0006134387058989655|-3.8416595780375693|0.002155137491290328|-2.5101588521061875|0.0010440032315488055|2
tampabay.com|-2.810860280890453|251694|-2.0616091170024435|0.09423347398030943|-2.2397008426348406|0.0617416386564638|-1.7817933215053088|0.0044458747526758685|-1.8574077220114786|0.018856230184271378|-1.409953602580797|0.01543540966411595|-5.288056556781133|0.00059596176309328|-1.0781441615975422|9.138080367430292e-05|-1.707352367695421|0.0005085540378395989|-2.918834869628367|0.0010051888404173323|-2.8844416421286914|0.0011680850556628286|0
thehill.com|-2.4617792640870975|166200|-2.519802489934599|0.25439831528279183|-2.7008858226440804|0.1749699157641396|-2.2426462646709933|0.013664259927797833|-2.028550152698107|0.06762334536702767|-1.826010019017714|0.0419554753309266|-7.2803731605570805|0.0005595667870036101|-2.085384170214335|9.025270758122743e-05|-0.9660423236588637|0.001227436823104693|-3.4463515421540585|0.01256919374247894|-2.110434095372929|0.002424789410348977|2
vox.com|-2.6587147372473434|63202|-2.7437398795911667|0.34000506313091355|-2.793092839769249|0.2742951172431252|-2.0747830160952287|0.0095250150311699|-1.8195424594169616|0.04088478212714788|-1.7478064807792315|0.029809183253694502|-4.960021571590091|0.004192905287807348|-2.319163997968038|9.493370462960033e-05|-1.5392926586575286|0.0013607164330242715|-3.167467502991083|0.033100218347520645|-2.508208792285615|0.00397139331033828|0
breitbart.com|-3.3049983156244487|224995|-1.9727942416686124|0.17166603702304495|-2.0984573199875083|0.11464254761216916|-1.7310613891949336|0.012849174426098358|-2.40994913580744|0.04764550323340519|-1.948411025915999|0.036303028956199024|-6.165062273924168|0.0006933487410831352|-1.3823049304097197|0.00019111535811906931|-1.767524824100356|0.001195582124047201|-3.2189484674832936|0.0033645192115380343|-1.2321949457958579|0.0019422653836751928|2
chron.com|-4.415468736604348|859909|-1.8693253109429746|0.0006558833550992023|-2.1646349931176903|0.00036864365880575733|-2.6679102695089276|6.861191126037755e-05|-1.956858530258521|4.535363625685974e-05|0.12362053196715272|0.00010698806501618195|-1.8941945433616638|6.977482501055344e-06|-2.2169142723083497|1.744370625263836e-05|-1.6754840873942083|0.00011396554751723729|-6.018518447875977|5.814568750879454e-06|-3.116273672967302|0.0009000952426361394|0
cnbc.com|-1.8413779869876254|172989|-2.0984269570900347|0.17804600292504147|-2.2039642924426652|0.14525201024342588|-1.7992412667317563|0.0023989964679835135|-1.3477746428817072|0.018914497453595316|-1.6106038922556418|0.011492060188798132|-5.511894700262282|0.0007803964413922273|0.00014919581565451116|0.00027169357589210873|-1.9537583683375959|0.00046823786483533636|-3.654752313434164|0.0060350658134332245|-2.0412851026379393|0.00959020515755337|0
